"Title","Link","Description","pubDate","guid"
"‘Wailing for help’: passengers and bystanders tell of India train crash horror","https://www.theguardian.com/world/2023/jun/03/wailing-for-help-passengers-and-bystanders-tell-of-india-train-crash-horror","<p>‘Some 10 to 15 people fell over me … when I got out, I saw limbs scattered all around’</p><p>The carriages from three separate trains sat piled high in an entangled wreck. Some lay sideways, others had been thrown so high into the air on impact that they had fallen back to earth twisted and upside down.</p><p>A line of dozens of bodies covered in white sheets were laid out next to the wreckage waiting for vehicles – ambulances, local cars, even tractors – to take them away to local hospitals. Passengers’ possessions lay scattered around them, shoes and toys and suitcases thrown open.</p> <a href=""https://www.theguardian.com/world/2023/jun/03/wailing-for-help-passengers-and-bystanders-tell-of-india-train-crash-horror"">Continue reading...</a>","Sat, 03 Jun 2023 08:22:54 GMT","https://www.theguardian.com/world/2023/jun/03/wailing-for-help-passengers-and-bystanders-tell-of-india-train-crash-horror"
"Russia-Ukraine war live: Zelenskiy says Ukraine ready to launch counteroffensive","https://www.theguardian.com/world/live/2023/jun/03/russia-ukraine-war-live-russian-army-may-struggle-in-bakhmut-compared-with-wagner-uk-mod-suggests","<p>Wall Street Journal says Ukrainian president said in interview that ‘we are going to do it and we are ready’</p><ul><li><a href=""https://www.theguardian.com/world/2023/jun/03/russia-ukraine-war-at-a-glance-what-we-know-on-day-465-of-the-invasion"">What we know on day 465 of the invasion</a></li></ul><p><strong>Ukraine’s</strong> plans for a counteroffensive against Russian occupation remain on track, its deputy defence minister told Reuters on Saturday, despite an “unprecedented” wave of missile and drone attacks across the country in recent weeks.</p><p>Ukraine will “start the counter-offensive, with the ambition to liberate our territories this year,” he added.</p><p>Nothing can stop our efforts, our desire, and our confidence that we’ll win this war.</p><p>They (Russia) have a lot of internal events that are of course linked to this war. We have a lot of people inside Russia who support Ukraine.</p><p>We want to see a clear … set of steps to be taken by both sides. Not just an indication that the door is open.</p><p>We are not going to negotiate any deal related to loss of our territory, including Crimea.</p><p>I propose that the Shangri-La dialogue find a mode of... voluntary declaration urging both Ukraine and Russia to immediately start negotiations for peace.</p> <a href=""https://www.theguardian.com/world/live/2023/jun/03/russia-ukraine-war-live-russian-army-may-struggle-in-bakhmut-compared-with-wagner-uk-mod-suggests"">Continue reading...</a>","Sat, 03 Jun 2023 08:25:53 GMT","https://www.theguardian.com/world/live/2023/jun/03/russia-ukraine-war-live-russian-army-may-struggle-in-bakhmut-compared-with-wagner-uk-mod-suggests"
"‘Extra Trumpy’: Atlantic profile of CNN chief Licht details town hall disaster","https://www.theguardian.com/media/2023/jun/03/trump-cnn-town-hall-chris-licht-atlantic","<p>Network chief executive reportedly wanted New Hampshire event to be ‘extra Trumpy’ but broadcast prompted wide condemnation</p><p>The CNN chief executive, Chris Licht, <a href=""https://www.theatlantic.com/politics/archive/2023/06/cnn-ratings-chris-licht-trump/674255/"">wanted</a> the network’s New Hampshire town hall with Donald Trump last month to be “extra Trumpy”, according to a report on Licht’s attempts to remodel the news giant, how the Trump event came to be and how the <a href=""https://www.theguardian.com/media/2023/may/12/trump-town-hall-cnn-staff-rages"">controversy</a> it set off continues to reverberate through US politics and media.</p><p>In a <a href=""https://www.theatlantic.com/politics/archive/2023/06/cnn-ratings-chris-licht-trump/674255/"">lengthy profile</a> published on Friday, Tim Alberta of <a href=""https://www.theatlantic.com/politics/archive/2023/06/cnn-ratings-chris-licht-trump/674255/"">the Atlantic</a> wrote: “Licht wasn’t scared to bring a bunch of Maga enthusiasts onto his set – he had remarked to his deputies about the ‘extra Trumpy’ make-up of the crowd CNN was expecting – and he damn sure wasn’t scared of Trump.</p> <a href=""https://www.theguardian.com/media/2023/jun/03/trump-cnn-town-hall-chris-licht-atlantic"">Continue reading...</a>","Sat, 03 Jun 2023 09:00:27 GMT","https://www.theguardian.com/media/2023/jun/03/trump-cnn-town-hall-chris-licht-atlantic"
"‘Much easier to say no’: Irish town unites in smartphone ban for young children","https://www.theguardian.com/technology/2023/jun/03/much-easier-to-say-no-irish-town-unites-in-smartphone-ban-for-young-children","<p>Parents and schools across Greystones adopt voluntary ‘no-smartphone code’ in bid to curb peer pressure</p><p>On the principle of strength in numbers, parents in the Irish town of Greystones have banded together to collectively tell their children they cannot have a smartphone until secondary school.</p><p>Parents’ associations across the district’s eight primary schools have adopted a no-smartphone code to present a united front against children’s lobbying.</p> <a href=""https://www.theguardian.com/technology/2023/jun/03/much-easier-to-say-no-irish-town-unites-in-smartphone-ban-for-young-children"">Continue reading...</a>","Sat, 03 Jun 2023 08:00:25 GMT","https://www.theguardian.com/technology/2023/jun/03/much-easier-to-say-no-irish-town-unites-in-smartphone-ban-for-young-children"
"Protest over Pride month assembly at Los Angeles school turns violent","https://www.theguardian.com/us-news/2023/jun/02/los-angeles-school-pride-assembly-protest","<p>Reports of fights breaking out over a book reading about inclusive families forced police officers to separate clashing groups</p><p>A protest over a Pride month assembly at a Los Angeles elementary school reportedly broke out into fights, forcing police officers to separate groups of protesters and counter-protesters who clashed over the school’s teaching of LGBTQ+ issues.</p><p>Tensions at Saticoy elementary school, part of the Los Angeles unified school district, have been rising since last month over the Pride assembly the school has planned to hold on Friday.</p> <a href=""https://www.theguardian.com/us-news/2023/jun/02/los-angeles-school-pride-assembly-protest"">Continue reading...</a>","Sat, 03 Jun 2023 00:25:21 GMT","https://www.theguardian.com/us-news/2023/jun/02/los-angeles-school-pride-assembly-protest"
"Japan storm: one dead and two missing as thousands urged to evacuate","https://www.theguardian.com/world/2023/jun/03/japan-storm-one-dead-and-two-missing-as-thousands-urged-to-evacuate","<p>Dozens injured amid flooding from heavy rains caused by remnants of former typhoon Mawar, with new warnings issued near Tokyo</p><p>Heavy rain across parts of Japan killed one person, left two missing and injured dozens more, authorities said, with thousands of people issued evacuation warnings.</p><p>The inundation was caused by the remnants of former typhoon Mawar, downgraded to a tropical storm.</p> <a href=""https://www.theguardian.com/world/2023/jun/03/japan-storm-one-dead-and-two-missing-as-thousands-urged-to-evacuate"">Continue reading...</a>","Sat, 03 Jun 2023 04:44:17 GMT","https://www.theguardian.com/world/2023/jun/03/japan-storm-one-dead-and-two-missing-as-thousands-urged-to-evacuate"
"Woman sexually assaulted by MP condemns Labour’s complaints process","https://www.theguardian.com/politics/2023/jun/03/ms-a-woman-mp-mike-hill-labour-complaints-process-geraint-davies-harassment-allegations","<p>Exclusive: Ms A’s comments come as another MP, Geraint Davies, faces allegations of sexual harassment</p><p>A woman who was repeatedly sexually assaulted by a Labour MP has condemned the party’s complaints procedures as “fake” and “a political stunt” after the launch of a separate inquiry into claims against Geraint Davies.</p><p>The former member for Hartlepool, Mike Hill, was <a href=""https://www.theguardian.com/politics/2021/jul/08/ex-labour-mp-mike-hill-facing-possible-criminal-inquiry-sexual-assault-claims"">found by a tribunal last year to have victimised his former staff member</a>, known as Ms A, after she spurned his advances. She said the party had initially ignored her complaints, then tried to cover them up, and had offered her little support during a four-year fight for justice.</p> <a href=""https://www.theguardian.com/politics/2023/jun/03/ms-a-woman-mp-mike-hill-labour-complaints-process-geraint-davies-harassment-allegations"">Continue reading...</a>","Sat, 03 Jun 2023 06:00:23 GMT","https://www.theguardian.com/politics/2023/jun/03/ms-a-woman-mp-mike-hill-labour-complaints-process-geraint-davies-harassment-allegations"
"Records shed light on Jeffrey Epstein’s state of mind in jail in days before death","https://www.theguardian.com/us-news/2023/jun/02/jeffrey-epstein-jail-documents-last-days","<p>Documents show disgraced financier tried to connect with Larry Nassar and underscore failings by federal prison agency</p><p>Two weeks before ending his life, <a href=""https://www.theguardian.com/us-news/jeffrey-epstein"">Jeffrey Epstein</a> sat in the corner of his Manhattan jail cell with his hands over his ears, desperate to muffle the sound of a toilet that wouldn’t stop running.</p><p>Epstein was agitated and unable to sleep, jail officials observed in records newly obtained by the Associated Press. He called himself a “coward” and complained he was struggling to adapt to life behind bars following his July 2019 arrest on federal sex trafficking and conspiracy charges – his life of luxury reduced to a concrete and steel cage.</p> <a href=""https://www.theguardian.com/us-news/2023/jun/02/jeffrey-epstein-jail-documents-last-days"">Continue reading...</a>","Fri, 02 Jun 2023 12:49:38 GMT","https://www.theguardian.com/us-news/2023/jun/02/jeffrey-epstein-jail-documents-last-days"
"Washington won’t stand for China ‘bullying’ US allies, Lloyd Austin tells security summit","https://www.theguardian.com/us-news/2023/jun/03/washington-wont-stand-for-china-bullying-us-allies-lloyd-austin-tells-security-summit","<p>At Shangri-La Dialogue in Singapore, defence secretary also criticises Beijing’s unwillingness to engage with US on military crisis management</p><p>The US defence secretary, Lloyd Austin, has vowed that Washington will not stand for any “coercion and bullying” of its allies and partners by China, while assuring Beijing that the US remains committed to maintaining the status quo on Taiwan and would prefer dialogue over conflict.</p><p>Speaking in Singapore at the Shangri-La Dialogue, Asia’s top security summit, Austin lobbied for support for Washington’s vision of a “free, open and secure Indo-Pacific within a world of rules and rights” as the best course to counter increasing Chinese assertiveness in the region.</p> <a href=""https://www.theguardian.com/us-news/2023/jun/03/washington-wont-stand-for-china-bullying-us-allies-lloyd-austin-tells-security-summit"">Continue reading...</a>","Sat, 03 Jun 2023 03:09:40 GMT","https://www.theguardian.com/us-news/2023/jun/03/washington-wont-stand-for-china-bullying-us-allies-lloyd-austin-tells-security-summit"
"US man eats McDonald’s three times a day for 100 days – and the weight falls off","https://www.theguardian.com/us-news/2023/jun/03/mcdonalds-diet-weight-loss","<p>Kevin Maginnis, 57, from Nashville says he ate half-portions of McDonald’s thrice daily and lost about 60lbs (26kg) in weight</p><p>Most people might think that eating nothing but fast food from <a href=""https://www.theguardian.com/business/mcdonalds"">McDonald’s</a> for more than three months would demolish a diet rather than constitute one, but that wasn’t the case for a 57-year-old man from Tennessee.</p><p>Kevin Maginnis went on various media outlets this week and explained how he dropped nearly 60lbs by eating each of his three daily meals from McDonald’s for 100 days.</p> <a href=""https://www.theguardian.com/us-news/2023/jun/03/mcdonalds-diet-weight-loss"">Continue reading...</a>","Sat, 03 Jun 2023 09:00:26 GMT","https://www.theguardian.com/us-news/2023/jun/03/mcdonalds-diet-weight-loss"
